root_630,pre,pos_x,pos_y,pos_z,cell_class,cell_type,known_nt,acetylcholine,gaba,glutamate,dopamine,serotonin,octopamine,num_nts,is_cotransmitter
720575940634814315,406.0,105300.0,33670.0,2684,,aSP-g1,acetylcholine,True,False,False,False,False,False,1,False
720575940631434541,867.0,158500.0,37060.0,2106,,aSP-g1,acetylcholine,True,False,False,False,False,False,1,False
720575940630245650,855.0,167100.0,44210.0,2661,,aSP-g1,acetylcholine,True,False,False,False,False,False,1,False
720575940608481860,833.0,166800.0,44270.0,2638,,aSP-g1,acetylcholine,True,False,False,False,False,False,1,False
720575940630899560,687.0,95840.0,42110.0,3421,,aSP-g1,acetylcholine,True,False,False,False,False,False,1,False
720575940627600719,822.0,158400.0,37230.0,2087,,aSP-g2,acetylcholine,True,False,False,False,False,False,1,False
720575940638890355,915.0,158700.0,37230.0,2086,,aSP-g2,acetylcholine,True,False,False,False,False,False,1,False
720575940616592523,1569.0,149900.0,30940.0,1251,,aSP-g2,acetylcholine,True,False,False,False,False,False,1,False
720575940611682533,2003.0,157800.0,39350.0,2159,,aSP-g2,acetylcholine,True,False,False,False,False,False,1,False
720575940618995505,842.0,105000.0,33850.0,2693,,aSP-g2,acetylcholine,True,False,False,False,False,False,1,False
720575940633118637,1556.0,106800.0,34530.0,2647,,aSP-g3B,acetylcholine,True,False,False,False,False,False,1,False
720575940627700554,1592.0,157200.0,38840.0,2103,,aSP-g3B,acetylcholine,True,False,False,False,False,False,1,False
720575940627607192,1578.0,106200.0,35680.0,2704,,aSP-g3B,acetylcholine,True,False,False,False,False,False,1,False
720575940615606634,1579.0,157900.0,37700.0,2026,,aSP-g3B,acetylcholine,True,False,False,False,False,False,1,False
720575940639684413,2062.0,92430.0,37330.0,4754,,CB1777,glutamate,False,False,True,False,False,False,1,False
720575940622209833,614.0,102700.0,31930.0,4687,,CB2318,glutamate,False,False,True,False,False,False,1,False
720575940623871928,1026.0,95290.0,37490.0,4864,,CB3443,glutamate,False,False,True,False,False,False,1,False
720575940638471357,1446.0,100700.0,46620.0,3656,,PVLP008,glutamate,False,False,True,False,False,False,1,False
720575940612940269,1641.0,100200.0,44830.0,3656,,PVLP008,glutamate,False,False,True,False,False,False,1,False
720575940611891437,1605.0,99240.0,45260.0,3831,,PVLP008,glutamate,False,False,True,False,False,False,1,False
720575940640899803,1779.0,98980.0,40560.0,3573,,PVLP008,glutamate,False,False,True,False,False,False,1,False
720575940614928234,1547.0,98480.0,36340.0,4321,,CB3198,acetylcholine,True,False,False,False,False,False,1,False
720575940623041549,2097.0,91780.0,46270.0,3868,,LHAV1a1,acetylcholine,True,False,False,False,False,False,1,False
720575940624761331,630.0,93200.0,48800.0,3510,,LHAV1a3,acetylcholine,True,False,False,False,False,False,1,False
720575940611998578,721.0,87650.0,40440.0,3728,,CB3123,gaba,False,True,False,False,False,False,1,False
720575940611867629,2009.0,100800.0,50030.0,5080,,LHPV2e1_a,gaba,False,True,False,False,False,False,1,False
720575940628793916,1135.0,97060.0,58560.0,5269,,"LC40a,LC40b",acetylcholine,True,False,False,False,False,False,1,False
720575940614230495,786.0,82140.0,42980.0,4426,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940627740432,500.0,79080.0,40470.0,4723,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940625579022,892.0,85750.0,45250.0,4362,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940627006794,987.0,85350.0,45220.0,4301,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940637066047,772.0,83760.0,43110.0,4250,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940606477746,867.0,83580.0,46260.0,4169,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940631745107,412.0,79630.0,40200.0,4721,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940629289721,984.0,80440.0,41760.0,4815,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940615123250,829.0,81580.0,42730.0,4623,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940618650584,586.0,81190.0,42770.0,4372,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940638458173,824.0,85020.0,45340.0,4176,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940612142051,1010.0,85480.0,46290.0,4385,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940612227441,882.0,84970.0,43920.0,4184,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940637604678,540.0,81670.0,41740.0,4425,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940630509098,403.0,83550.0,46340.0,4220,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940625623994,897.0,82700.0,45340.0,4319,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940619219264,1112.0,84020.0,45730.0,4241,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940630016855,939.0,83760.0,44500.0,4395,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940645925508,901.0,79780.0,40930.0,4703,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940623272435,636.0,80500.0,42060.0,4664,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940632592609,969.0,81650.0,42060.0,4506,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940638231997,832.0,83180.0,43200.0,4355,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940620699519,811.0,84470.0,45870.0,4094,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940610485145,1137.0,84070.0,45120.0,4409,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940623737831,983.0,80800.0,42090.0,4396,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940647182644,701.0,81590.0,40650.0,4431,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940628484201,1065.0,83400.0,45460.0,4247,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940638210894,1004.0,82980.0,43140.0,4293,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940631115368,1155.0,84190.0,44850.0,4241,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940617216320,962.0,82180.0,44000.0,4648,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940625396226,1342.0,85050.0,45880.0,4270,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940629013292,818.0,86020.0,49820.0,4271,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940627003847,764.0,83940.0,45770.0,4369,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940635020133,963.0,83500.0,44790.0,4586,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940628684154,761.0,82070.0,43410.0,4604,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940627343089,678.0,82450.0,42230.0,4399,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940611518617,849.0,84710.0,44830.0,4320,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940622462685,1058.0,82060.0,44490.0,4318,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940622313451,878.0,178200.0,50160.0,3388,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940619419813,937.0,82700.0,42550.0,4338,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940616613009,904.0,88180.0,48490.0,4503,,LC6,acetylcholine,True,False,False,False,False,False,1,False
720575940630466346,918.0,87610.0,48070.0,4460,,LC6,acetylcholine,True,False,False,False,False,False,1,False
